"","Date","Channel","Length","Cost","Impressions","Sales"
"110",2017-07-02 17:27:00,"10",15,1758,36400,20
"111",2017-07-02 17:47:00,"11",15,7943,145600,42
"112",2017-07-02 17:56:00,"13",15,3515,127400,14
"113",2017-07-02 18:18:00,"13",15,9633,163800,38
"114",2017-07-02 18:22:00,"2",15,1352,18200,3
"115",2017-07-02 18:52:00,"13",15,7030,109200,9
"116",2017-07-02 19:05:00,"10",15,1758,54600,15
"117",2017-07-02 19:21:00,"8",15,21362,891800,138
"118",2017-07-02 19:23:00,"13",15,3515,218400,65
"119",2017-07-02 19:27:00,"10",15,6152,72800,47
"120",2017-07-02 19:40:00,"11",15,29136,600600,213
"121",2017-07-02 20:47:00,"4",15,676,18200,24
"122",2017-07-02 21:57:00,"8",15,66755,1383200,383
"123",2017-07-02 21:57:00,"7",15,676,36400,5
"124",2017-07-02 21:57:00,"4",15,1352,36400,8
"125",2017-07-02 22:17:00,"4",15,2028,36400,30
"126",2017-07-02 22:20:00,"12",15,17745,145600,186
"127",2017-07-02 23:18:00,"7",15,61922,345800,320
"128",2017-07-02 23:21:00,"11",15,2028,54600,39
"129",2017-07-02 23:44:00,"7",15,2028,36400,32
"130",2017-07-02 00:43:00,"11",15,2704,18200,15
"131",2017-07-02 01:01:00,"7",15,2028,18200,21
"132",2017-07-03 01:41:00,"5",15,2028,91000,36
"133",2017-07-03 02:00:00,"14",15,676,91000,12
"134",2017-07-03 02:44:00,"7",15,676,36400,15
"135",2017-07-03 03:09:00,"14",15,676,36400,3
"136",2017-07-03 08:08:00,"2",15,676,54600,5
"137",2017-07-03 09:43:00,"1",15,676,18200,9
"138",2017-07-03 10:42:00,"4",15,2298,91000,26
"139",2017-07-03 10:51:00,"1",15,7199,163800,65
"140",2017-07-03 11:09:00,"8",15,676,54600,3
"141",2017-07-03 11:28:00,"2",15,1352,18200,3
"142",2017-07-03 11:28:00,"8",15,2298,91000,5
"143",2017-07-03 11:40:00,"8",15,5340,109200,17
"144",2017-07-03 11:45:00,"11",15,1453,145600,51
"145",2017-07-03 11:55:00,"12",15,2873,18200,20
"146",2017-07-03 12:45:00,"11",15,4326,145600,68
"147",2017-07-03 13:12:00,"11",15,710,91000,35
"148",2017-07-03 13:16:00,"1",15,676,36400,9
"149",2017-07-03 13:28:00,"8",15,3042,72800,17
"150",2017-07-03 13:42:00,"8",15,2298,109200,26
"151",2017-07-03 13:46:00,"11",15,5036,109200,57
"152",2017-07-03 14:06:00,"1",15,2028,36400,5
"153",2017-07-03 14:25:00,"1",15,1352,18200,9
"154",2017-07-03 14:39:00,"8",15,3819,109200,26
"155",2017-07-03 14:50:00,"11",15,4326,127400,57
"156",2017-07-03 15:39:00,"8",15,4563,200200,63
"157",2017-07-03 15:51:00,"11",15,4326,91000,26
"158",2017-07-03 15:51:00,"13",15,879,36400,5
"159",2017-07-03 18:05:00,"1",15,676,18200,24
"160",2017-07-03 18:15:00,"10",15,879,18200,14
"161",2017-07-03 18:19:00,"13",15,879,200200,30
"162",2017-07-03 18:25:00,"9",15,3819,109200,15
"163",2017-07-03 18:40:00,"7",15,879,54600,11
"164",2017-07-03 19:09:00,"11",15,18320,819000,77
"165",2017-07-03 19:17:00,"11",15,676,18200,0
"166",2017-07-03 19:25:00,"6",15,4394,291200,66
"167",2017-07-03 19:46:00,"11",15,676,18200,2
"168",2017-07-03 20:07:00,"7",15,2028,18200,9
"169",2017-07-03 20:26:00,"11",15,77267,1001000,255
